date,student_id,Name,preferred_course,course_demand,predicted_performance,timestamp,course_id,attendance_status,gpa,attendance_rate,hours_studied_per_week,previous_failures,attendance_percentage,quizzes_completed,assignments_completed,lms_engagement_score,dropout_risk
10/2/2024,S2887,Hassan,Web Development,High,Excellent,22:13.3,C102,Present,3.51,0.93,15.18,0,93,47,15,92.85,Low
10/16/2024,S1794,Hassan,Cybersecurity,Medium,Average,23:39.2,C102,Late,2.07,0.73,6.91,2,73,38,11,48.09,Medium
10/11/2024,S024,Aleena,Web Development,Low,Below Average,08:29.4,C105,Present,1.73,0.47,1.87,3,47,40,10,36.49,High
10/19/2024,S3351,Ahmed,Data Science,High,Below Average,06:47.4,C103,Present,3.09,0.8,9.82,1,80,46,12,76.18,Medium
10/22/2024,S3624,Danish,AI,High,Above Average,19:35.4,C102,Present,3.45,0.84,6.38,0,84,49,13,79.73,Low
10/18/2024,S1732,Usman,Cybersecurity,Medium,Average,13:02.3,C102,Present,2.56,0.64,5.25,1,64,39,14,43.22,Medium
10/6/2024,S1085,Hamza,Web Development,Low,Below Average,13:29.5,C101,Present,1.36,0.44,1.72,4,44,33,6,22.83,Low
10/13/2024,S3992,Hassan,Data Science,High,Above Average,23:19.0,C104,Present,3.39,0.79,6.93,0,79,48,15,72.52,Low
10/1/2024,S2666,Ahmed,Data Science,High,Average,05:20.6,C105,Late,3.95,0.92,17.95,0,92,45,18,81.34,Low
10/14/2024,S2379,Danish,AI,High,Excellent,06:53.1,C102,Present,3.88,0.96,17.57,0,96,47,18,95.04,Low
10/1/2024,S1273,Mehwish,AI,Medium,Average,10:30.2,C102,Present,2.64,0.67,5.82,1,67,44,14,44.19,Medium
10/3/2024,S306,Laiba,Data Science,Low,Below Average,02:22.1,C101,Late,1.23,0.55,2.92,4,55,39,8,31.57,High
10/18/2024,S2903,Aleena,Business Analytics,High,Excellent,14:49.3,C105,Present,3.76,0.99,15.59,0,99,50,16,87.58,Low
10/4/2024,S2762,Laiba,Cybersecurity,High,Average,21:59.5,C101,Present,3.97,0.97,11.84,0,97,47,20,80.6,Low
10/7/2024,S599,Laiba,Business Analytics,Low,Below Average,13:49.5,C104,Absent,1.44,0.59,1.78,3,59,31,6,39.61,High
10/25/2024,S3880,Mariam,Cybersecurity,Low,Below Average,14:38.7,C105,Present,3.02,0.83,6.25,0,83,40,14,63.2,Low
10/26/2024,S872,Mehwish,AI,Low,Below Average,21:38.5,C104,Present,0.6,0.47,3.46,2,47,35,7,23.94,High
10/14/2024,S2546,Ayaan,AI,High,Excellent,20:34.6,C104,Late,3.67,0.96,10.31,0,96,48,17,93.66,Low
10/8/2024,S2122,Ayaan,Web Development,High,Excellent,04:20.1,C103,Late,3.79,0.96,13.29,0,96,45,18,89.02,Low
10/23/2024,S1361,Usman,AI,Medium,Average,04:42.3,C102,Present,2.25,0.66,6.24,1,66,44,10,43.57,Medium
10/2/2024,S1937,Hira,Data Science,High,Excellent,06:51.4,C105,Absent,3.9,0.99,17.8,0,99,45,15,89.29,Low
10/23/2024,S2759,Hassan,Data Science,High,Excellent,05:42.3,C105,Present,3.96,0.92,19.56,0,92,48,17,82.96,Low
10/7/2024,S3645,Aleena,Web Development,High,Above Average,22:27.5,C103,Absent,2.91,0.86,9.15,0,86,46,13,63.73,Medium
10/8/2024,S1540,Mehwish,Web Development,Medium,Average,10:09.2,C103,Present,2.65,0.67,4.69,1,67,39,10,41.94,Medium
10/6/2024,S2211,Taha,Business Analytics,High,Excellent,05:53.2,C101,Present,3.8,0.95,14.93,0,95,50,17,97.83,Medium
10/9/2024,S1053,Hamza,Business Analytics,Low,Below Average,19:33.6,C105,Present,1.5,0.42,1.73,4,42,33,9,34.12,High
10/26/2024,S1567,Mariam,Cybersecurity,Medium,Average,21:59.8,C105,Present,2.46,0.63,5.11,1,63,35,13,47.36,Medium
10/8/2024,S3247,Ahmed,Web Development,Low,Average,11:52.2,C103,Absent,3.09,0.79,8.58,1,79,43,16,76.25,Low
10/18/2024,S1927,Aleena,Business Analytics,High,Excellent,14:49.3,C105,Present,3.57,0.91,19.7,0,91,47,17,96.08,Low
10/15/2024,S2024,Danish,Cybersecurity,High,Below Average,08:15.4,C103,Absent,3.75,0.94,19.1,0,94,47,16,83.75,Low
10/1/2024,S409,Taha,Cybersecurity,Low,Below Average,13:56.2,C104,Present,0.54,0.47,2.0,4,47,31,10,23.84,High
10/9/2024,S100,Danish,Business Analytics,Low,Below Average,10:01.4,C103,Present,0.79,0.56,1.27,3,56,31,5,39.48,Low
10/25/2024,S1212,Hassan,Cybersecurity,Medium,Average,07:08.2,C102,Absent,2.25,0.7,5.43,2,70,36,11,42.7,Medium
10/17/2024,S1433,Saad,Data Science,Medium,Average,16:19.9,C105,Present,2.21,0.69,6.85,2,69,37,10,53.28,Medium
10/16/2024,S316,Aleena,AI,Low,Below Average,18:03.4,C103,Late,1.61,0.41,3.17,4,41,39,5,32.93,High
10/23/2024,S1174,Imran,Web Development,Low,Below Average,05:58.6,C102,Present,0.82,0.56,3.61,4,56,40,8,38.55,High
10/1/2024,S1236,Areeba,Cybersecurity,Medium,Average,21:40.2,C102,Absent,2.54,0.61,5.76,2,61,44,11,41.79,Medium
10/1/2024,S3160,Bilal,AI,High,Excellent,01:08.4,C103,Present,3.61,0.95,17.61,0,95,47,20,91.19,Low
10/10/2024,S2733,Zara,Cybersecurity,High,Excellent,22:21.1,C105,Present,3.98,0.99,18.76,0,99,46,17,92.41,Low
10/24/2024,S3973,Hira,Business Analytics,High,Above Average,05:42.1,C105,Present,3.43,0.82,9.16,1,82,47,16,74.59,Low
10/10/2024,S3641,Laiba,Data Science,High,Above Average,22:14.2,C104,Absent,3.12,0.76,7.66,0,76,40,15,79.92,Low
10/1/2024,S752,Aleena,AI,Low,Below Average,01:18.2,C103,Present,1.97,0.48,2.82,3,48,33,6,38.89,High
10/1/2024,S3116,Areeba,Business Analytics,Low,Average,07:52.3,C102,Late,3.95,0.93,16.72,0,93,50,19,85.36,Medium
10/6/2024,S157,Hamza,Web Development,Low,Below Average,13:29.5,C101,Present,1.62,0.53,1.37,3,53,38,9,28.49,High
10/1/2024,S2562,Laiba,AI,Low,Below Average,22:40.3,C104,Absent,3.6,1.0,18.7,0,100,46,18,86.23,Low
10/11/2024,S121,Laiba,Business Analytics,Low,Below Average,01:35.4,C103,Late,0.69,0.5,1.8,4,50,31,7,26.69,High
10/1/2024,S1455,Mehwish,AI,Medium,Average,10:30.2,C102,Present,2.38,0.62,4.6,2,62,40,14,40.5,Medium
10/5/2024,S512,Hira,Data Science,Low,Below Average,03:02.3,C105,Present,1.66,0.5,3.39,3,50,37,5,33.71,High
10/18/2024,S1518,Zara,Data Science,Medium,Average,03:19.5,C103,Present,2.38,0.71,4.14,1,71,38,13,56.8,Medium
10/6/2024,S3505,Imran,Business Analytics,High,Above Average,12:39.5,C102,Late,3.16,0.81,6.52,1,81,41,12,62.24,Low
10/7/2024,S2017,Zara,Data Science,High,Excellent,19:19.2,C102,Late,3.61,0.98,19.03,0,98,45,17,97.6,Low
10/15/2024,S3441,Hamza,AI,High,Above Average,13:05.3,C105,Present,3.31,0.84,8.08,1,84,47,13,78.12,Low
10/14/2024,S2847,Ayaan,AI,High,Excellent,20:34.6,C104,Late,3.62,0.95,17.44,0,95,48,16,80.29,Medium
10/14/2024,S1603,Usman,Business Analytics,Medium,Average,02:23.3,C105,Present,2.15,0.67,6.79,2,67,36,10,46.91,Medium
10/1/2024,S3779,Hassan,Data Science,Low,Below Average,04:08.2,C105,Present,3.04,0.83,6.96,0,83,50,15,63.68,Low
10/12/2024,S3804,Mariam,Business Analytics,High,Above Average,06:36.2,C105,Present,3.45,0.78,9.13,0,78,46,13,63.32,Low
10/12/2024,S677,Danish,Business Analytics,Low,Below Average,22:34.7,C103,Absent,0.61,0.47,2.8,2,47,39,7,39.83,High
10/1/2024,S241,Aleena,AI,Low,Below Average,01:18.2,C103,Present,1.21,0.52,2.27,3,52,37,10,30.29,Low
10/8/2024,S1024,Taha,Web Development,Low,Below Average,19:16.5,C103,Late,1.04,0.6,2.54,4,60,30,10,30.8,High
10/22/2024,S2217,Danish,Data Science,High,Excellent,11:37.3,C104,Absent,3.94,1.0,11.78,0,100,48,16,87.41,Medium
10/17/2024,S1512,Noor,AI,Medium,Average,08:39.4,C101,Present,2.03,0.74,4.8,2,74,45,13,58.12,Medium
10/8/2024,S2814,Danish,Data Science,Low,Average,22:04.7,C102,Present,3.89,0.95,11.23,0,95,46,20,80.35,Low
10/17/2024,S3226,Ayaan,Cybersecurity,High,Above Average,17:35.3,C103,Present,3.41,0.79,9.86,0,79,46,15,68.13,Low
10/10/2024,S3800,Laiba,Data Science,High,Above Average,22:14.2,C104,Absent,2.84,0.82,8.76,0,82,44,16,60.56,Low
10/16/2024,S3764,Taha,Data Science,High,Above Average,20:30.3,C103,Present,3.24,0.76,9.76,0,76,50,16,69.49,Low
10/1/2024,S2883,Hassan,Business Analytics,High,Excellent,00:19.3,C104,Present,3.87,0.93,19.27,0,93,49,18,81.45,Medium
10/2/2024,S487,Fatima,AI,Low,Below Average,12:23.6,C102,Present,1.52,0.57,3.84,3,57,34,5,36.42,High
10/18/2024,S3362,Iqra,Business Analytics,High,Above Average,13:16.2,C102,Present,2.86,0.86,8.84,0,86,41,15,71.21,Low
10/24/2024,S1874,Bilal,Web Development,High,Excellent,12:51.4,C103,Present,3.98,0.93,16.34,0,93,45,18,85.59,Low
10/9/2024,S2462,Hamza,Cybersecurity,High,Excellent,08:58.4,C103,Present,3.66,1.0,12.91,0,100,50,17,96.18,Low
10/13/2024,S2438,Aleena,AI,Low,Below Average,17:29.4,C101,Late,3.81,1.0,10.68,0,100,47,16,82.36,Low
10/19/2024,S355,Fatima,Business Analytics,Low,Below Average,18:54.3,C101,Late,0.58,0.58,3.75,3,58,38,5,29.06,High
10/13/2024,S1018,Hamza,AI,Low,Below Average,23:38.6,C103,Present,0.53,0.58,2.0,3,58,35,6,39.6,High
10/4/2024,S3664,Hamza,Web Development,High,Above Average,02:04.3,C101,Present,3.03,0.86,6.74,0,86,47,16,63.8,Medium
10/26/2024,S1742,Areeba,Web Development,Medium,Average,03:29.2,C101,Present,2.42,0.69,5.09,1,69,35,14,50.88,Medium
10/14/2024,S2331,Taha,Business Analytics,High,Excellent,00:46.0,C104,Present,3.9,0.96,16.52,0,96,48,17,96.36,Low
10/14/2024,S2404,Imran,Data Science,High,Excellent,22:12.5,C101,Present,3.69,0.95,17.41,0,95,47,18,86.46,Low
10/25/2024,S1221,Aleena,Web Development,Medium,Average,22:58.2,C101,Present,2.16,0.72,5.91,2,72,37,13,51.53,Medium
10/23/2024,S052,Zara,Web Development,Low,Below Average,21:35.4,C101,Present,1.13,0.55,1.93,2,55,35,8,23.16,Low
10/23/2024,S2723,Imran,Web Development,High,Excellent,01:41.1,C103,Present,3.88,0.93,12.3,0,93,48,17,97.38,Low
10/6/2024,S1721,Mehwish,Data Science,Medium,Average,17:15.1,C102,Present,2.33,0.65,6.92,1,65,38,11,52.26,Medium
10/9/2024,S074,Danish,Business Analytics,Low,Below Average,10:01.4,C103,Present,0.95,0.52,2.09,4,52,39,7,35.75,Low
10/22/2024,S1689,Mehwish,AI,Medium,Average,22:00.2,C101,Present,2.76,0.73,4.14,2,73,37,14,48.89,Medium
10/13/2024,S2586,Aleena,AI,Low,Below Average,17:29.4,C101,Late,3.72,0.99,12.93,0,99,48,16,90.14,Low
10/5/2024,S439,Saad,Business Analytics,Low,Below Average,14:33.4,C102,Present,0.88,0.45,1.67,2,45,38,6,21.85,Low
10/25/2024,S1475,Noor,Cybersecurity,Medium,Average,17:51.3,C101,Present,2.26,0.63,6.92,2,63,40,13,47.11,Medium
10/1/2024,S2761,Fatima,AI,High,Below Average,06:48.9,C102,Absent,3.88,0.94,13.25,0,94,46,17,94.73,Medium
10/17/2024,S803,Hassan,Cybersecurity,Low,Below Average,13:16.9,C102,Present,1.55,0.47,2.5,3,47,35,6,28.27,High
10/21/2024,S466,Fatima,AI,Low,Below Average,21:54.3,C104,Late,1.07,0.42,2.11,2,42,32,7,32.48,Low
10/8/2024,S3085,Mariam,AI,Low,Below Average,07:56.1,C102,Late,3.63,0.91,14.4,0,91,50,16,96.17,Low
10/3/2024,S1065,Zara,Data Science,Low,Below Average,01:11.2,C101,Present,1.4,0.59,3.04,2,59,31,6,26.73,High
10/21/2024,S3911,Imran,Business Analytics,High,Above Average,09:07.1,C101,Present,2.89,0.86,8.55,1,86,44,14,75.89,Low
10/10/2024,S158,Areeba,Cybersecurity,Low,Below Average,14:10.5,C104,Late,1.46,0.59,3.1,3,59,36,8,29.41,High
10/25/2024,S2004,Taha,Business Analytics,High,Excellent,22:54.4,C101,Present,3.66,0.91,12.21,0,91,50,20,84.3,Low
10/18/2024,S1654,Mehwish,AI,Medium,Average,18:44.5,C105,Late,2.55,0.72,6.57,2,72,45,14,56.58,Medium
10/4/2024,S053,Imran,Data Science,Low,Below Average,02:24.4,C105,Present,1.48,0.52,2.96,3,52,40,7,32.75,High
10/22/2024,S1345,Imran,Web Development,Medium,Average,08:59.2,C105,Absent,2.8,0.65,5.72,2,65,37,13,44.53,Medium
10/11/2024,S221,Bilal,Web Development,Low,Below Average,02:36.4,C101,Present,1.99,0.47,1.14,3,47,33,7,32.13,Low
10/6/2024,S565,Iqra,Data Science,Low,Below Average,16:17.8,C103,Present,1.86,0.47,1.56,4,47,31,5,38.31,High
10/1/2024,S027,Aleena,AI,Low,Below Average,01:18.2,C103,Present,0.94,0.57,1.55,4,57,31,8,25.28,High
10/24/2024,S1584,Hira,Cybersecurity,Medium,Average,18:21.4,C105,Present,2.33,0.75,4.95,2,75,35,12,50.0,Medium
10/1/2024,S2015,Hamza,Web Development,Low,Below Average,07:51.5,C102,Present,3.83,0.91,10.83,0,91,49,19,98.78,Low
10/8/2024,S215,Bilal,Cybersecurity,Low,Below Average,16:50.6,C103,Present,1.96,0.4,2.67,3,40,31,6,25.22,Low
10/19/2024,S2058,Fatima,AI,High,Excellent,11:35.4,C105,Present,3.51,0.99,16.55,0,99,48,17,96.0,Low
10/20/2024,S938,Fatima,Business Analytics,Low,Below Average,22:32.9,C105,Absent,0.5,0.53,3.81,2,53,38,6,22.38,Low
10/2/2024,S552,Fatima,AI,Low,Below Average,12:23.6,C102,Present,0.96,0.59,3.22,2,59,39,10,25.39,High
10/22/2024,S3027,Laiba,Business Analytics,High,Excellent,04:36.5,C104,Present,3.65,0.91,10.14,0,91,46,18,84.19,Low
10/25/2024,S2587,Areeba,Business Analytics,High,Excellent,08:10.5,C103,Present,3.66,0.94,12.8,0,94,46,18,88.65,Low
10/1/2024,S326,Aleena,Data Science,Low,Below Average,19:08.4,C103,Present,0.56,0.43,2.65,2,43,37,5,30.06,High
10/6/2024,S3271,Laiba,Data Science,High,Above Average,08:52.2,C104,Present,3.1,0.84,8.48,1,84,42,12,75.03,Low
10/26/2024,S3976,Danish,Data Science,High,Above Average,20:45.4,C105,Present,3.49,0.75,7.91,1,75,40,15,66.26,Medium
10/12/2024,S1671,Saad,Web Development,Medium,Average,21:19.6,C105,Present,2.7,0.61,5.51,1,61,45,13,51.27,Medium
10/25/2024,S830,Noor,Cybersecurity,Low,Below Average,08:43.1,C101,Present,1.44,0.56,2.07,2,56,33,9,21.2,Low
10/24/2024,S3117,Hira,AI,High,Excellent,10:06.4,C102,Late,3.55,0.98,10.65,0,98,47,19,92.61,Low
10/23/2024,S753,Imran,Web Development,Low,Below Average,05:58.6,C102,Present,1.48,0.59,3.1,4,59,37,5,39.14,High
10/19/2024,S3703,Areeba,Data Science,High,Above Average,21:46.5,C101,Present,3.12,0.83,7.81,1,83,42,15,67.85,Low
10/19/2024,S3238,Aleena,Web Development,High,Above Average,10:11.7,C103,Present,3.21,0.87,9.6,1,87,43,13,79.28,Low
10/16/2024,S2477,Mariam,Data Science,Low,Average,09:31.3,C101,Late,3.87,0.97,14.73,0,97,50,18,96.77,Low
10/21/2024,S045,Imran,Web Development,Low,Below Average,05:55.2,C105,Late,1.88,0.6,2.14,4,60,30,5,33.32,High
10/6/2024,S3988,Saad,Cybersecurity,High,Above Average,01:50.4,C101,Present,3.19,0.82,7.6,1,82,44,16,68.1,Low
10/17/2024,S1554,Saad,Data Science,Medium,Average,16:19.9,C105,Present,2.78,0.74,5.42,2,74,38,10,48.24,Medium
10/15/2024,S502,Mariam,Business Analytics,Low,Below Average,02:36.4,C103,Present,1.35,0.43,1.22,4,43,33,8,20.69,High
10/18/2024,S2399,Aleena,Business Analytics,High,Excellent,14:49.3,C105,Present,3.74,0.94,13.39,0,94,49,20,95.93,Low
10/5/2024,S977,Aleena,Web Development,Low,Below Average,16:49.4,C101,Present,1.33,0.46,3.99,4,46,36,6,39.59,Low
10/9/2024,S2528,Imran,Data Science,High,Excellent,08:44.4,C101,Late,3.81,0.99,11.87,0,99,50,15,98.78,Low
10/15/2024,S1193,Saad,Cybersecurity,Low,Below Average,06:24.2,C102,Absent,1.06,0.44,3.22,2,44,38,8,34.63,High
10/3/2024,S811,Hassan,Cybersecurity,Low,Below Average,09:43.2,C102,Late,1.73,0.57,3.27,2,57,39,6,39.18,High
10/8/2024,S1000,Saad,Cybersecurity,Low,Below Average,07:31.6,C103,Present,1.68,0.56,1.7,2,56,35,7,24.7,High
10/11/2024,S569,Zara,Cybersecurity,Low,Below Average,07:37.3,C103,Present,1.92,0.44,2.7,4,44,37,9,27.75,High
10/2/2024,S2793,Zara,Cybersecurity,High,Excellent,04:00.5,C103,Present,3.84,0.95,19.8,0,95,46,18,89.38,Low
10/20/2024,S3809,Fatima,AI,Low,Average,02:13.6,C103,Absent,3.01,0.86,8.37,0,86,50,12,67.06,Low
10/14/2024,S2032,Imran,Data Science,Low,Average,22:12.5,C101,Present,3.55,1.0,19.69,0,100,45,19,94.24,Low
10/20/2024,S367,Iqra,AI,Low,Below Average,05:52.5,C104,Late,0.73,0.5,2.33,2,50,34,8,31.95,High
10/11/2024,S458,Ayaan,Cybersecurity,Low,Below Average,04:01.2,C102,Present,1.52,0.5,3.56,4,50,37,10,32.69,High
10/24/2024,S257,Hassan,AI,Low,Below Average,07:15.2,C103,Present,1.84,0.55,3.88,4,55,35,6,23.16,High
10/5/2024,S2187,Saad,Cybersecurity,High,Excellent,10:25.4,C103,Late,3.55,0.97,17.2,0,97,48,16,99.78,Low
10/15/2024,S2271,Hamza,Data Science,High,Excellent,15:49.4,C102,Late,3.78,0.93,19.18,0,93,48,19,97.3,Low
10/24/2024,S1477,Ahmed,Cybersecurity,Medium,Average,06:53.2,C103,Present,2.08,0.72,5.11,1,72,44,13,48.96,Medium
10/13/2024,S577,Aleena,Web Development,Low,Below Average,06:46.2,C103,Absent,1.79,0.53,2.32,4,53,31,6,24.13,High
10/17/2024,S2340,Laiba,AI,Low,Below Average,22:53.5,C105,Present,3.58,0.93,17.7,0,93,47,19,87.39,Low
10/2/2024,S2141,Hamza,AI,Low,Average,10:12.3,C104,Present,3.69,0.95,12.44,0,95,49,20,86.11,Low
10/21/2024,S2283,Taha,Data Science,High,Excellent,01:55.2,C101,Present,3.75,0.93,11.26,0,93,46,20,96.73,Low
10/9/2024,S3737,Aleena,Web Development,High,Above Average,03:08.2,C103,Present,2.81,0.77,7.99,0,77,48,16,71.5,Low
10/8/2024,S1765,Ahmed,Data Science,Medium,Average,08:06.4,C103,Absent,2.16,0.69,6.4,2,69,45,12,57.62,Medium
10/26/2024,S2305,Fatima,Data Science,Low,Average,10:04.5,C105,Late,3.51,0.94,11.72,0,94,45,16,92.33,Low
10/11/2024,S2894,Hira,Business Analytics,High,Excellent,04:46.1,C103,Present,3.97,0.94,18.14,0,94,49,20,84.81,Medium
10/26/2024,S292,Zara,Web Development,Low,Below Average,05:15.4,C101,Present,1.67,0.48,2.77,2,48,35,5,22.0,Low
10/5/2024,S730,Mariam,AI,Low,Below Average,16:54.4,C101,Late,0.65,0.48,3.67,3,48,35,7,23.19,High
10/18/2024,S1614,Zara,Data Science,Medium,Average,03:19.5,C103,Present,2.0,0.64,6.76,1,64,45,14,48.53,Medium
10/17/2024,S135,Hassan,Cybersecurity,Low,Below Average,13:16.9,C102,Present,1.53,0.51,3.29,2,51,39,5,29.9,Low
10/17/2024,S1511,Ahmed,AI,Medium,Average,12:00.2,C103,Present,2.74,0.7,4.63,2,70,36,11,58.5,Medium
10/17/2024,S3222,Hassan,Web Development,Low,Below Average,02:11.2,C102,Present,3.16,0.81,9.7,1,81,50,14,67.98,Low
10/6/2024,S681,Laiba,Web Development,Low,Below Average,03:29.4,C101,Present,1.82,0.57,3.46,4,57,38,9,29.69,High
10/7/2024,S3474,Taha,Business Analytics,High,Above Average,05:13.6,C104,Present,3.01,0.76,9.16,0,76,48,14,77.88,Low
10/1/2024,S264,Mariam,Web Development,Low,Below Average,14:04.3,C103,Present,1.48,0.42,2.44,2,42,33,8,21.26,Low
10/15/2024,S2429,Ahmed,Web Development,Low,Below Average,05:24.5,C101,Late,3.99,0.91,12.14,0,91,48,15,97.5,Low
10/21/2024,S3350,Aleena,Cybersecurity,Low,Below Average,15:29.2,C103,Present,2.87,0.81,9.48,1,81,50,16,60.7,Low
10/10/2024,S2242,Ayaan,Data Science,High,Excellent,13:21.6,C104,Present,3.7,0.98,11.8,0,98,49,16,97.9,Low
10/13/2024,S765,Aleena,Web Development,Low,Below Average,06:46.2,C103,Absent,1.42,0.59,2.12,2,59,33,8,35.03,High
10/1/2024,S057,Hassan,AI,Low,Below Average,05:20.5,C103,Present,1.01,0.46,2.7,2,46,33,5,28.9,High
10/22/2024,S2785,Mariam,Web Development,High,Excellent,04:58.1,C104,Present,3.7,0.92,17.75,0,92,48,18,83.28,Medium
10/11/2024,S683,Areeba,Web Development,Low,Below Average,11:13.2,C101,Present,1.63,0.48,3.57,3,48,38,8,26.74,Low
10/5/2024,S1294,Hamza,Business Analytics,Medium,Average,13:38.0,C104,Present,2.46,0.73,4.61,1,73,37,11,48.99,Medium
10/7/2024,S2186,Hassan,Business Analytics,High,Excellent,09:16.2,C102,Present,3.57,0.95,19.04,0,95,50,19,80.61,Medium
10/15/2024,S1310,Danish,Data Science,Medium,Average,03:46.4,C105,Present,2.71,0.75,6.62,2,75,40,13,57.56,Medium
10/20/2024,S3401,Fatima,AI,High,Above Average,02:13.6,C103,Absent,3.12,0.8,9.43,1,80,41,16,66.88,Low
10/16/2024,S545,Aleena,AI,Low,Below Average,18:03.4,C103,Late,0.97,0.58,2.73,3,58,36,9,20.55,Low
10/21/2024,S1861,Aleena,Data Science,High,Excellent,05:29.3,C101,Present,3.98,0.97,13.7,0,97,45,16,89.12,Low
10/1/2024,S2709,Laiba,AI,High,Excellent,22:40.3,C104,Absent,3.59,0.92,19.08,0,92,46,17,80.61,Low
10/1/2024,S3932,Taha,Business Analytics,Low,Average,05:34.2,C101,Present,3.23,0.84,7.58,1,84,46,12,66.79,Medium
10/25/2024,S1729,Areeba,Business Analytics,Medium,Average,07:35.3,C103,Present,2.75,0.63,4.3,2,63,36,11,44.65,Medium
10/23/2024,S2346,Saad,Data Science,High,Excellent,23:34.1,C101,Absent,3.86,0.94,12.07,0,94,50,15,93.04,Medium
10/22/2024,S839,Noor,Business Analytics,Low,Below Average,20:22.6,C104,Present,1.23,0.41,1.03,2,41,39,5,38.04,Low
10/26/2024,S171,Mehwish,AI,Low,Below Average,21:38.5,C104,Present,1.84,0.46,3.82,2,46,38,9,27.16,High
10/12/2024,S2025,Mariam,Business Analytics,High,Excellent,16:34.3,C103,Present,3.72,0.91,19.11,0,91,47,17,91.83,Low
10/13/2024,S3847,Ahmed,Web Development,Low,Below Average,16:54.5,C104,Present,3.11,0.76,9.4,1,76,48,13,76.02,Low
10/24/2024,S3585,Noor,AI,High,Above Average,10:14.2,C104,Absent,3.26,0.77,7.38,1,77,47,12,77.58,Low
10/12/2024,S1551,Aleena,Cybersecurity,Medium,Average,00:47.1,C103,Present,2.38,0.7,5.19,2,70,40,12,45.37,Medium
10/13/2024,S1589,Ahmed,Cybersecurity,Medium,Average,22:54.5,C101,Present,2.4,0.74,6.47,1,74,36,10,59.88,Medium
10/24/2024,S2764,Iqra,Business Analytics,High,Excellent,11:35.1,C102,Present,3.6,0.91,16.73,0,91,49,16,98.98,Low
10/2/2024,S189,Usman,Cybersecurity,Low,Below Average,19:49.4,C103,Present,1.81,0.43,2.31,2,43,40,6,35.47,High
10/24/2024,S013,Areeba,Data Science,Low,Below Average,04:48.7,C105,Present,1.36,0.46,1.96,4,46,38,7,36.68,High
10/23/2024,S3839,Zara,Cybersecurity,High,Above Average,04:24.5,C101,Present,3.28,0.82,7.84,1,82,42,13,77.99,Low
10/10/2024,S323,Areeba,Cybersecurity,Low,Below Average,14:10.5,C104,Late,1.7,0.52,1.28,4,52,40,8,24.05,High
10/6/2024,S986,Areeba,Web Development,Low,Below Average,21:12.2,C105,Present,1.74,0.41,1.41,4,41,40,8,32.21,High
10/7/2024,S3630,Mehwish,Cybersecurity,High,Above Average,16:34.2,C101,Late,3.11,0.82,7.52,0,82,40,15,74.09,Low
10/15/2024,S433,Hamza,Web Development,Low,Below Average,21:21.2,C101,Late,1.83,0.5,3.72,4,50,37,6,32.37,High
10/8/2024,S1092,Usman,AI,Low,Below Average,06:45.2,C105,Present,1.38,0.5,1.79,4,50,31,8,32.71,High
10/21/2024,S2895,Mehwish,Web Development,High,Excellent,12:12.6,C101,Present,3.73,0.92,13.56,0,92,48,15,99.82,Medium
10/19/2024,S2837,Laiba,AI,High,Excellent,16:36.5,C101,Present,3.93,0.97,14.03,0,97,46,15,98.82,Low
10/4/2024,S2892,Bilal,Business Analytics,High,Excellent,14:50.4,C105,Present,3.99,0.92,16.21,0,92,46,18,89.45,Low
10/18/2024,S2239,Saad,Business Analytics,Low,Average,22:16.5,C103,Late,3.78,0.9,13.35,0,90,45,16,91.13,Low
10/24/2024,S3124,Fatima,Business Analytics,High,Excellent,12:30.4,C103,Absent,3.88,0.92,14.67,0,92,46,16,90.25,Medium
10/16/2024,S3685,Areeba,Cybersecurity,High,Above Average,23:40.5,C101,Present,2.92,0.77,9.1,1,77,41,16,78.48,Low
10/14/2024,S1806,Aleena,Web Development,High,Excellent,15:07.2,C101,Present,3.84,0.96,16.04,0,96,50,20,88.1,Low
10/23/2024,S1316,Ayaan,Business Analytics,Medium,Average,00:50.3,C101,Present,2.42,0.67,5.0,1,67,38,11,47.36,Medium
10/8/2024,S2958,Ayaan,Web Development,High,Excellent,04:20.1,C103,Late,3.58,1.0,17.51,0,100,50,15,98.8,Low
10/22/2024,S1097,Mehwish,Data Science,Low,Below Average,03:54.4,C101,Present,1.02,0.56,2.08,4,56,34,9,34.3,High
10/11/2024,S1946,Hamza,Data Science,Low,Below Average,09:52.4,C104,Present,3.86,0.93,15.45,0,93,45,16,97.23,Low
10/5/2024,S1033,Saad,Business Analytics,Low,Below Average,14:33.4,C102,Present,0.85,0.49,3.44,2,49,31,9,20.83,High
10/6/2024,S1019,Areeba,Web Development,Low,Below Average,21:12.2,C105,Present,0.74,0.55,2.53,2,55,33,9,34.58,High
10/4/2024,S239,Danish,AI,Low,Below Average,07:00.6,C101,Present,1.65,0.48,3.99,3,48,36,10,22.56,High
10/11/2024,S175,Hamza,Business Analytics,Low,Below Average,05:18.2,C101,Present,1.61,0.59,3.23,4,59,40,10,36.71,High
10/26/2024,S2241,Hamza,Data Science,High,Average,04:50.6,C105,Late,3.7,0.92,15.47,0,92,48,19,85.81,Low
10/4/2024,S2568,Noor,Cybersecurity,Low,Below Average,15:13.2,C101,Late,3.53,0.9,13.78,0,90,47,20,96.86,Low
